Reference,Source,Status and version/date,Accessed,Official URL or DOI,Mapping direction,Required caveat
12,"Chandramouli, R., and Butcher, Z., A Zero Trust Architecture Model for Access Control in Cloud-Native Applications in Multi-Cloud Environments, NIST SP 800-207A, September 2023",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.SP.800-207A,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
13,NIST SP 800-53 Rev. 5,"FINAL, Release 5.2.0 issued August 27, 2025",2026-08-07,https://doi.org/10.6028/NIST.SP.800-53r5,"AERA → source controls, direct/partial/enabling by clause",Control selection and tailoring remain risk-based. A mapping does not show implementation or effectiveness.
14,NIST SP 800-53A Rev. 5,"FINAL, Release 5.2.0 issued August 27, 2025",2026-08-07,https://doi.org/10.6028/NIST.SP.800-53Ar5,AERA → source assessment procedures; Source → AERA V&V concepts,Procedures are customizable and do not define AERA acceptance criteria.
15,NIST SP 800-53B,"FINAL, Release 5.2.0 issued August 2025",2026-08-07,https://doi.org/10.6028/NIST.SP.800-53B,Context for baseline-selection claims,Release 5.2.0 made no baseline-control changes. SA-24 is not in a 53B baseline; selection remains explicit.
16,"Joint Task Force, Risk Management Framework for Information Systems and Organizations: A System Life Cycle Approach for Security and Privacy, NIST SP 800-37 Rev. 2, December 2018",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.SP.800-37r2,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
17,"Joint Task Force Transformation Initiative, Guide for Conducting Risk Assessments, NIST SP 800-30 Rev. 1, September 2012",PROGRAM / INITIATIVE; accessed 2026-08-07,2026-08-07,https://doi.org/10.6028/NIST.SP.800-30r1,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
18,"Ross, R.; McEvilley, M.; and Oren, J., Systems Security Engineering: Considerations for a Multidisciplinary Approach in the Engineering of Trustworthy Secure Systems, NIST SP 800-160 Vol. 1 Rev. 1, November 2022",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.SP.800-160v1r1,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
19,"Ross, R.; Pillitteri, V.; Graubart, R.; Bodeau, D.; and McQuaid, R., Developing Cyber-Resilient Systems: A Systems Security Engineering Approach, NIST SP 800-160 Vol. 2 Rev. 1, December 2021",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.SP.800-160v2r1,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
20,"Souppaya, M.; Scarfone, K.; and Dodson, D., Secure Software Development Framework (SSDF) Version 1.1, NIST SP 800-218, February 2022",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.SP.800-218,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
21,"Boyens, J.; Smith, A.; Bartol, N.; Winkler, K.; Holbrook, A.; and Fallon, M., Cybersecurity Supply Chain Risk Management Practices for Systems and Organizations, NIST SP 800-161 Rev. 1, May 2022",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.SP.800-161r1,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
22,NIST IR 8323 Rev. 1 PNT Profile,"FINAL, January 2023",2026-08-07,https://doi.org/10.6028/NIST.IR.8323r1,"AERA PNT/DA → source profile, partial",Based on CSF 1.1. AERA’s present/monitored/accepted/used distinction is not an IR 8323 conformance label.
23,NIST IR 8323 Rev. 2 PNT Profile,"INITIAL PUBLIC DRAFT, May 6, 2026; comment period closed July 6, 2026",2026-08-07,https://doi.org/10.6028/NIST.IR.8323r2.ipd,Context only; future crosswalk-review trigger,Updated toward CSF 2.0 but not final. Do not replace the Rev. 1 final baseline until NIST publishes a final revision.
24,"Executive Order 13905, “Strengthening National Resilience Through Responsible Use of Positioning, Navigation, and Timing Services,” February 12, 2020",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.federalregister.gov/documents/2020/02/18/2020-03337/strengthening-national-resilience-through-responsible-use-of-positioning-navigation-and-timing,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
25,FIPS 203 ML-KEM,"FINAL STANDARD, August 13, 2024",2026-08-07,https://doi.org/10.6028/NIST.FIPS.203,"AERA PQC requirements → algorithm standard, direct only for algorithm claims","Algorithm specification does not establish protocol security, implementation validation, interoperability, migration readiness, or operational approval. Track official errata."
26,FIPS 204 ML-DSA,"FINAL STANDARD, August 13, 2024",2026-08-07,https://doi.org/10.6028/NIST.FIPS.204,"AERA PQC requirements → algorithm standard, direct only for algorithm claims",Same algorithm-versus-implementation limitation; track official errata.
27,FIPS 205 SLH-DSA,"FINAL STANDARD, August 13, 2024",2026-08-07,https://doi.org/10.6028/NIST.FIPS.205,"AERA PQC requirements → algorithm standard, direct only for algorithm claims",Same algorithm-versus-implementation limitation; parameter and use-case selection remain separate.
28,NIST SP 800-227 KEM recommendations,"FINAL, September 18, 2025",2026-08-07,https://doi.org/10.6028/NIST.SP.800-227,"AERA PQC/KEM implementation → source recommendations, partial/direct","KEM-focused; does not by itself validate a complete protocol, product, or migration program."
29,NIST CSWP 39 Update 1 crypto agility,"FINAL, June 29, 2026",2026-08-07,https://doi.org/10.6028/NIST.CSWP.39-upd1,"AERA CY-004/DA-036 → source practices, direct/partial","Final white paper with strategies and practices, not a FIPS algorithm standard or certification scheme."
30,NIST IR 8547 PQC transition,"INITIAL PUBLIC DRAFT, November 12, 2024",2026-08-07,https://doi.org/10.6028/NIST.IR.8547.ipd,"AERA migration roadmap → draft source, contextual/partial",Proposed transition approach and timelines remain draft. Keep every use explicitly labeled as draft.
31,NIST PQC publications register,"LIVING PROGRAM REGISTER, updated through 2026",2026-08-07,https://csrc.nist.gov/Projects/Post-Quantum-Cryptography/publications,Context/status only,"Use to verify current publication status, not as a substitute for the cited publication."
32,"CISA, NSA, and NIST, Quantum-Readiness: Migration to Post-Quantum Cryptography, August 21, 2023",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://media.defense.gov/2023/Aug/21/2003284212/0/0/0/CSI-QUANTUM-READINESS.PDF,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
33,DOE Quantum Internet Blueprint,"FINAL WORKSHOP REPORT, 2020",2026-08-07,https://www.energy.gov/sites/prod/files/2020/07/f76/QuantumWkshpRpt20FINAL_Nav_0.pdf,Context only,"Research blueprint; not proof of enterprise production readiness, a quantum Internet, or unconditional security."
34,"U.S. Department of Energy, Office of Science, Advanced Scientific Computing Research, “Quantum Information Science—Workshops and Reports,” including the July 2023 Basic Research Needs in Quantum Computing and Networking workshop report, accessed 2026-08-07",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://science.osti.gov/ascr/Research/Quantum-Information-Science-QIS,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
35,CISA Zero Trust Maturity Model,"FINAL, Version 2.0, April 2023",2026-08-07,https://www.cisa.gov/sites/default/files/2023-04/CISA_Zero_Trust_Maturity_Model_Version_2_508c.pdf,"AERA → source maturity concepts, partial",Federal zero-trust roadmap; not an AERA maturity or conformance equivalence.
36,"Office of Management and Budget, Moving the U.S. Government Toward Zero Trust Cybersecurity Principles, Memorandum M-22-09, January 26, 2022",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.whitehouse.gov/wp-content/uploads/2022/01/M-22-09.pdf,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
37,"MITRE, Adversarial Threat Landscape for Artificial-Intelligence Systems (ATLAS), living knowledge base, accessed 2026-08-07",LIVING RESOURCE; accessed 2026-08-07,2026-08-07,https://atlas.mitre.org/,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
38,MITRE ATT&CK,"LIVING KNOWLEDGE BASE, Version 19.1 dated April 28, 2026",2026-08-07,https://attack.mitre.org/resources/versions/,"AERA DAT → source techniques, partial",ATT&CK models observed adversary behavior; it is neither complete risk assessment nor an agent-authority control standard. Version-pin mappings.
39,"International Organization for Standardization, ISO/IEC 42001:2023, Information technology—Artificial intelligence—Management system, Edition 1, December 2023, published",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.iso.org/standard/42001,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
40,"International Organization for Standardization, ISO/IEC 23894:2023, Information technology—Artificial intelligence—Guidance on risk management, Edition 1, February 2023, published",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.iso.org/standard/77304.html,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
41,ISO 31000,"PUBLISHED, Edition 2, 2018; confirmed 2023; ISO indicates revision activity",2026-08-07,https://www.iso.org/standard/65694.html,"AERA → source risk principles, contextual/partial","Guidance standard, not certifiable; recheck edition status before RC1 release."
42,"ISO/IEC/IEEE, ISO/IEC/IEEE 15288:2023, Systems and software engineering—System life cycle processes, Edition 2, May 2023, published",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.iso.org/standard/81702.html,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
43,"IEEE Standards Association, IEEE 7000-2021, IEEE Standard Model Process for Addressing Ethical Concerns during System Design, active standard",ACTIVE STANDARD; edition stated in reference,2026-08-07,https://standards.ieee.org/ieee/IEEE-7000/6781/,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
44,IEEE 1012,"ACTIVE STANDARD, IEEE 1012-2024; published August 22, 2025",2026-08-07,https://standards.ieee.org/ieee/1012/7324/,"AERA V&V → source processes, partial",Replaces the superseded 2016 edition. Exact clause mapping requires authorized full-text review.
45,"The Open Group, The TOGAF Standard, 10th Edition, 2022",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.opengroup.org/togaf,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
46,"U.S. Department of Defense, Responsible Artificial Intelligence Strategy and Implementation Pathway, June 2022",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.ai.mil/About/Resources/index.html,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
47,"U.S. Department of Defense, “Artificial Intelligence Ethical Principles: Responsible, Equitable, Traceable, Reliable, and Governable,” February 2020",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://www.defense.gov/News/Feature-Stories/Story/Article/2094085/artificial-intelligence-and-national-security/,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
48,CDAO Responsible AI Toolkit,"LIVING RESOURCE, initial public release November 2023",2026-08-07,https://www.ai.mil/Latest/Blog/Article-Display/Article/3940314/responsible-ai-toolkit/,Context and enabling evidence,Voluntary and DoD-contextual; does not establish general-industry or AERA conformance.
49,CDAO RAI Toolkit—Generative AI v1.0,"LIVING DOCUMENT, Version 1.0, December 2024",2026-08-07,https://www.ai.mil/Portals/137/Documents/Resources%20Page/2024-12GenAI-Responsible-AI-Toolkit.pdf,Context and enabling evidence,Tailorable DoD technical resource; use only for GenAI lifecycle practices and label its living status.
50,NIST IR 8477 concept mapping,"FINAL, February 2024",2026-08-07,https://doi.org/10.6028/NIST.IR.8477,Source → AERA mapping method,"Relationship assertions require direction, style, relationship, rationale and exact concepts; format alignment is not NIST review."
51,NIST IR 8278 Rev. 1 OLIR overview,"FINAL, February 2024",2026-08-07,https://doi.org/10.6028/NIST.IR.8278r1,Source → AERA publication and mapping lifecycle,OLIR catalog participation does not establish endorsement or implementation effectiveness.
52,NIST IR 8278A Rev. 1 OLIR submission guidance,"FINAL, February 2024",2026-08-07,https://doi.org/10.6028/NIST.IR.8278Ar1,Source → AERA submission preparation,"AERA is not submission-ready until public availability, atomic mappings, adjudication and maintenance commitments are complete."
53,NIST OLIR program,"LIVING PROGRAM, updated July 14, 2026",2026-08-07,https://csrc.nist.gov/Projects/olir,Engagement and status context,Catalog publication is not NIST endorsement; verify templates and procedures immediately before submission.
54,NIST SP 800-18 Rev. 2,"FINAL, June 30, 2026",2026-08-07,https://doi.org/10.6028/NIST.SP.800-18r2,AERA evidence and system-plan integration → source,System planning and machine-readable evidence concepts do not establish AERA conformance.
55,NIST SP 800-63-4,"FINAL, July 2025",2026-08-07,https://doi.org/10.6028/NIST.SP.800-63-4,AERA human digital identity → source,Scope is human users interacting with government systems; workload and agent identities require separate controls.
56,NIST SP 800-61 Rev. 3,"FINAL, April 2025",2026-08-07,https://doi.org/10.6028/NIST.SP.800-61r3,"AERA incident, containment and recovery → source profile",A CSF 2.0 Community Profile; it does not define the complete AERA recovery transaction.
57,NIST AI 100-5e2025,"FINAL, April 2025 editorial edition",2026-08-07,https://doi.org/10.6028/NIST.AI.100-5e2025,Standards-development context,Supports multistakeholder and science-backed standards practices; does not validate AERA.
58,NIST AI 700-2 ARIA pilot,"FINAL PILOT REPORT, November 2025",2026-08-07,https://doi.org/10.6028/NIST.AI.700-2,Source → AERA TEVV and pilot method,One NIST pilot method; not a universal assurance or certification procedure.
59,NIST AI Resource Center,LIVING RESOURCE,2026-08-07,https://airc.nist.gov/,"Engagement, use-case and crosswalk context",Stakeholder resources are not endorsed merely because they are listed or linked.
60,NIST IR 8607 Cyber AI workshop summary,"FINAL WORKSHOP REPORT, August 3, 2026",2026-08-07,https://doi.org/10.6028/NIST.IR.8607,Context for profile development and community input,Summarizes workshop input; it is not the Cyber AI Profile or a control baseline.
61,NIST Privacy Framework,VERSION 1.0 FINAL; VERSION 1.1 INITIAL PUBLIC DRAFT,2026-08-07,https://www.nist.gov/privacy-framework,AERA privacy governance → source,Do not represent Privacy Framework 1.1 as final until NIST publishes a final edition.
62,AI RMF Appendix D design attributes,FINAL AI RMF 1.0 RESOURCE; framework revision underway,2026-08-07,https://airc.nist.gov/airmf-resources/airmf/appendices/app-d-attributes-of-the-ai-rmf/,Source → AERA self-assessment criteria,The attributes are design guidance for AI RMF; AERA status is self-assessed and not NIST-reviewed.
63,NIST AI Consortium letter-of-interest process,"ONGOING PARTICIPATION PROCESS, updated August 4, 2026",2026-08-07,https://www.nist.gov/artificial-intelligence/nist-ai-consortium/submit-letter-interest-join-nist-ai-consortium,Engagement context,"Selection requires a complete organizational letter of interest and CRADA; NIST does not guarantee use of a submitted capability, and participation is not AERA endorsement."
64,NIST IR 8286 Rev. 1,"FINAL, December 18, 2025",2026-08-07,https://doi.org/10.6028/NIST.IR.8286r1,AERA risk and consequence information → enterprise risk management,Supplies risk-register and ERM integration guidance; it does not establish AERA risk acceptance or conformance.
65,NIST SP 800-55 Vol. 1,"FINAL, December 4, 2024",2026-08-07,https://doi.org/10.6028/NIST.SP.800-55v1,Source → AERA measurement selection and evaluation,Security-measure guidance requires context-specific adaptation for AI and decision assurance.
66,NIST SP 800-55 Vol. 2,"FINAL, December 4, 2024",2026-08-07,https://doi.org/10.6028/NIST.SP.800-55v2,Source → AERA measurement-program governance,A measurement program does not validate a particular AERA metric or assurance claim.
67,NIST AI 800-3,"FINAL RESEARCH REPORT, February 17, 2026",2026-08-07,https://doi.org/10.6028/NIST.AI.800-3,Source → AERA AI evaluation uncertainty and inference,"Statistical method is context-specific research, not a universal benchmark or conformance method."
68,NIST AI 800-4,"FINAL RESEARCH REPORT, March 6, 2026",2026-08-07,https://doi.org/10.6028/NIST.AI.800-4,Source → AERA deployed-AI monitoring categories and research gaps,Describes challenges and open questions; it is not a control standard or validated monitoring baseline.
69,NIST OSCAL,"ACTIVE NIST-LED INITIATIVE, page updated June 2, 2026",2026-08-07,https://pages.nist.gov/OSCAL/,Machine-readable implementation and assessment context,"AERA does not yet provide OSCAL catalogs, profiles, component definitions, assessment plans or results."
