ID,Family,Normative Text,Primary verification method,Lifecycle status,Introduced in,Changed in,Parent ID,Refines,Supersedes,Superseded by,Semantic delta,Default applicability,Edition,Build ID,Canonical source
AERA-DA-011,DA,"Consequence classification SHALL account for severity, scope, reversibility, time to harm, propagation, cumulative effects, legal or safety significance, and recovery time; the proposer SHALL NOT be the sole approver of a downgrade.",Classification rubric; inter-rater tests; downgrade approvals; boundary cases.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-012,DA,"The proposal evaluated by the Decision Assurance Fabric SHALL be canonically represented and cryptographically bound to actor, target, parameters, tool, sequence, evidence manifest, context, and expiration; any material mutation SHALL require reauthorization.",Canonicalization specification; digest comparison; mutation and replay tests.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-013,DA,"Decision evidence SHALL carry source identity, acquisition method, acquisition time, transformation lineage, integrity state, uncertainty, freshness, applicable domain, and retention reference.",Evidence manifest; schema validation; lineage reconstruction.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-014,DA,"When independent evidence is required, the implementation SHALL evaluate common sensor, data, model, provider, clock, network, power, and control-plane dependencies; correlated sources SHALL NOT be counted as independent without justification.",Failure-domain model; dependency graph; common-mode fault-injection results.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-015,DA,Evidence source identity and integrity SHALL be verified before evidence contributes to authorization; unverifiable evidence SHALL be excluded or explicitly treated as untrusted by policy.,Source-authentication records; forged-source tests; exclusion behavior.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-016,DA,"Decision policy SHALL define how contradictory, missing, ambiguous, and out-of-distribution evidence changes the disposition; a scalar confidence value SHALL NOT conceal a failed mandatory evidence condition.",Contradiction test set; policy traces; mandatory-condition tests.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-017,DA,"Each evidence type SHALL have a decision-class-specific freshness and latency tolerance; evidence outside tolerance SHALL cause defer, escalation, constraint, simulation, or denial as specified by policy.",Freshness thresholds; delayed-evidence tests; expiry records.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-018,DA,"Assurance state SHALL preserve separately evaluated claims for authority validity, intent alignment, evidence adequacy, actor competence, cyber integrity, temporal coherence, safety margin, and recoverability; a universal scalar score SHALL NOT override a failed mandatory claim.",Assurance-vector schema; policy decision table; dimension-failure tests.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-019,DA,"Confidence claims SHALL identify the calibration method, calibration population or operating domain, version, date, error measure, and known limits, and SHALL be monitored for calibration drift in deployment.",Calibration report; reliability analysis; production drift alerts and response records.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-020,DA,"Every time or position claim used in authorization SHALL identify its source, reference frame or time scale as applicable, uncertainty, integrity state, age, and whether the source is merely present, monitored, accepted, or actually used in the computed decision.",PNT evidence object; source-selection logs; use-path instrumentation.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-021,DA,"Decision classes dependent on PNT SHALL define disagreement thresholds, anomaly detection, holdover or alternate-source behavior, maximum uncertainty, and safe degraded operation; source loss or conflict SHALL NOT silently preserve nominal authority.",PNT fault-injection; jamming/spoofing or simulated anomaly tests; holdover characterization.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-022,DA,Every material autonomous effect SHALL pass through a policy enforcement mechanism controlled independently from the proposing actor; direct access to an effect interface SHALL be denied unless explicitly justified as a time-bounded emergency mode.,Architecture and trust-boundary review; bypass tests; emergency-mode approvals and logs.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-023,DA,The Decision Assurance Fabric SHALL use the canonical authorization-disposition vocabulary and semantics specified by AERA-DAF-110 through AERA-DAF-114.,"I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,1.2 WD,,AERA-DAF-110,,,Replaced legacy disposition wording with a reference to the canonical AERA-DAF-110 through AERA-DAF-114 semantics.,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-024,DA,"An authorization SHALL be limited to the exact actor, action, target, tool, parameters, sequence or transaction, context, consequence bound, and validity interval evaluated; bearer authorization not bound to these elements SHALL NOT authorize a material effect.","Token or capability schema; replay, audience, target, and parameter substitution tests.",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-025,DA,"Decision Assurance Fabric outage, timeout, overload, or partition SHALL invoke a pre-engineered decision-class degraded mode; unavailability SHALL NOT be interpreted as permission.",Capacity and partition tests; fail-safe state evidence; continuity procedure.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-026,DA,"Authorization SHALL be reevaluated when any policy-defined material context changes, including actor integrity, delegation, intent, evidence, PNT state, target state, threat state, or recovery readiness.",Context-change matrix; invalidation latency; reauthorization traces.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-027,DA,"The implementation SHALL evaluate cumulative and interacting effects across time, actors, tools, and targets and enforce rolling budgets or state constraints that prevent decomposition of a prohibited action into individually permitted actions.",Stateful test scenarios; budget enforcement; multi-actor sequence analysis.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-028,DA,"Tool credentials and capabilities SHALL be least-privileged, audience-restricted, target-restricted, action-restricted, time-bounded, and unavailable to the actor outside the authorized transaction.",Entitlement review; credential issuance logs; negative tool-use tests.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-029,DA,"A quorum, consensus, or independent-review rule SHALL define independence in terms of controller, model lineage, training data, evidence source, operator, provider, clock, and failure domain; numerical plurality alone SHALL NOT establish independence.",Independence model; collusion tests; quorum policy and provenance.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-030,DA,"Results from external AI, optimization, classical-compute, or quantum services SHALL be bound to the submitted request, provider and service version, execution context, time, uncertainty, and validation method; consequential use SHALL have a characterized fallback and independently controlled enforcement path.",Service contract; request/result binding; plausibility tests; fallback and provider-failure exercise.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-031,DA,"The implementation SHALL retain a tamper-evident causal record linking intent, delegation, actor and tool identity, proposal, evidence, assurance state, policy, disposition, enforcement, observed effect, override, and recovery action.",End-to-end reconstruction exercise; log-integrity verification; completeness sampling.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-032,DA,"Each decision class SHALL define a recovery envelope with detection triggers, containment and disengagement authority, safe states, rollback or compensation actions, required resources, and maximum recovery time; the recovery path SHALL be periodically tested independently of the actor.",Recovery plan; exercise results; override-path independence evidence.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-033,DA,"Runtime monitoring SHALL detect changes in actor integrity, authority, policy, evidence quality, calibration, PNT state, action sequence, target state, and recovery readiness and SHALL trigger the prescribed reauthorization or recovery action.",Monitoring coverage matrix; alert-to-action tests; operational metrics.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
